County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Gloucester,New Jersey,1,0,0,0%,39.71720107,-75.14164366,2020-03-19 23:11 EDT,34,015,4.24,0.23584905660377356
Sussex,New Jersey,2,2,0,0%,41.13934496100006,-74.69067761999997,2020-03-19 23:11 EDT,34,037,1.69,1.183431952662722
Cape May,New Jersey,1,1,0,0%,38.93547000000007,-74.92136999999997,2020-03-19 23:11 EDT,34,009,2.6,0.3846153846153846
Broward,Florida,96,16,1,1%,26.15224542,-80.48705340000002,2020-03-19 23:11 EDT,12,011,16.3,5.889570552147239
Palm Beach,Florida,29,8,0,0%,26.70288,-80.03661,2020-03-19 23:11 EDT,12,099,21.63,1.3407304669440592
Hillsborough,Florida,20,6,0,0%,27.93023096,-82.30785534,2020-03-19 23:11 EDT,12,057,22.98,0.8703220191470844
Orange,Florida,19,8,2,10.5%,41.33141,-74.35667,2020-03-19 23:11 EDT,12,095,35.27,0.5387014459880918
Collier,Florida,18,5,0,0%,26.11625563,-81.34013334,2020-03-19 23:11 EDT,12,021,4.55,3.956043956043956
Pinellas,Florida,16,4,0,0%,27.9313392,-82.72194025,2020-03-19 23:11 EDT,12,103,19.85,0.8060453400503778
Duval,Florida,15,1,0,0%,30.47844000000001,-81.62557,2020-03-19 23:11 EDT,12,031,20.81,0.7208073041806824
Osceola,Florida,13,5,0,0%,28.06812578,-81.14519655,2020-03-19 23:11 EDT,12,097,3.25,4.0
Lee,Florida,11,0,1,9.1%,26.57965162,-81.82468531,2020-03-19 23:11 EDT,12,071,8.48,1.2971698113207546
Alachua,Florida,11,4,0,0%,29.79309000000001,-82.49428,2020-03-19 23:11 EDT,12,001,14.49,0.759144237405107
Manatee,Florida,9,1,1,11.1%,27.49643,-82.53954,2020-03-19 23:11 EDT,12,081,4.81,1.8711018711018712
Volusia,Florida,9,0,0,0%,29.169340000000002,-81.52251,2020-03-19 23:11 EDT,12,127,14.43,0.6237006237006237
Seminole,Florida,8,1,0,0%,28.71700144,-81.23632262,2020-03-19 23:11 EDT,12,117,3.51,2.2792022792022792
Sarasota,Florida,6,2,0,0%,27.33889000000001,-82.53886999999997,2020-03-19 23:11 EDT,12,115,5.94,1.01010101010101
Okaloosa,Florida,5,1,0,0%,30.70702353,-86.59650821,2020-03-19 23:11 EDT,12,091,4.72,1.0593220338983051
Pasco,Florida,5,2,0,0%,28.32453,-82.33624,2020-03-19 23:11 EDT,12,101,5.81,0.8605851979345955
Leon,Florida,4,3,1,25%,30.45796803,-84.27794359,2020-03-19 23:11 EDT,12,073,15.16,0.2638522427440633
Clay,Florida,4,0,2,50%,29.98305516,-81.85778209,2020-03-19 23:11 EDT,12,019,1.25,3.2
St. Johns,Florida,4,0,0,0%,30.120509999999996,-81.62536,2020-03-19 23:11 EDT,12,109,3.04,1.3157894736842106
Polk,Florida,4,2,0,0%,27.94887824,-81.69776009,2020-03-19 23:11 EDT,12,105,13.54,0.29542097488921715
Hernando,Florida,4,4,0,0%,28.55250380800004,-82.41938995699995,2020-03-19 23:11 EDT,12,053,1.83,2.1857923497267757
Citrus,Florida,3,0,0,0%,28.850778899999998,-82.46594866,2020-03-19 23:11 EDT,12,017,2.25,1.3333333333333333
Lake,Florida,3,1,0,0%,28.76261973,-81.71155351,2020-03-19 23:11 EDT,12,069,3.87,0.7751937984496123
Brevard,Florida,3,1,0,0%,28.29348419,-80.73235631,2020-03-19 23:11 EDT,12,009,6.72,0.44642857142857145
Santa Rosa,Florida,2,1,1,50%,30.73147611,-87.01761385,2020-03-19 23:11 EDT,12,113,6.04,0.33112582781456956
Sumter,Florida,2,1,0,0%,28.70474449,-82.0809939,2020-03-19 23:11 EDT,12,119,8.2,0.24390243902439027
Gadsden,Florida,1,0,0,0%,30.57948492,-84.61351742,2020-03-19 23:11 EDT,12,039,3.16,0.3164556962025316
Charlotte,Florida,1,0,0,0%,26.90848328,-81.90343918,2020-03-19 23:11 EDT,12,015,3.17,0.31545741324921134
Nassau,Florida,1,0,0,0%,30.61077673,-81.80173997,2020-03-19 23:11 EDT,12,089,0.54,1.8518518518518516
Escambia,Florida,1,0,0,0%,30.70048478,-87.37722154,2020-03-19 23:11 EDT,12,033,17.84,0.05605381165919283
Walton,Florida,1,0,0,0%,30.65939599,-86.16268062,2020-03-19 23:11 EDT,12,131,2.07,0.48309178743961356
Indian River,Florida,1,1,0,0%,27.694396501000032,-80.60612987299999,2020-03-19 23:11 EDT,12,061,1.33,0.7518796992481203
Jackson,Florida,1,1,0,0%,30.79572969800006,-85.21834955899999,2020-03-19 23:11 EDT,12,063,7.78,0.12853470437017994
Martin,Florida,1,1,0,0%,27.088097283000025,-80.38317334499997,2020-03-19 23:11 EDT,12,085,4.21,0.23752969121140144
Cook,Illinois,278,100,2,0.7%,41.84014932,-87.81682325,2020-03-19 23:11 EDT,17,031,90.99,3.055280800087922
DuPage,Illinois,54,9,0,0%,41.85194049,-88.08561127,2020-03-19 23:11 EDT,17,043,12.83,4.208885424785659
Lake,Illinois,37,19,0,0%,42.32327645,-88.00353452,2020-03-19 23:11 EDT,17,097,18.67,1.9817889662560255
Will,Illinois,9,6,1,11.1%,41.44505655,-87.97865231,2020-03-19 23:11 EDT,17,197,8.74,1.0297482837528604
Kane,Illinois,6,2,0,0%,41.93887565,-88.42863925,2020-03-19 23:11 EDT,17,089,6.81,0.881057268722467
McHenry,Illinois,6,2,0,0%,42.326209999999996,-88.26731,2020-03-19 23:11 EDT,17,111,1.65,3.6363636363636367
Sangamon,Illinois,4,1,1,25%,39.75815792,-89.65888740000004,2020-03-19 23:11 EDT,17,167,4.02,0.9950248756218907
St. Clair,Illinois,3,0,0,0%,38.46996471,-89.92749975,2020-03-19 23:11 EDT,17,163,4.56,0.6578947368421053
Clinton,Illinois,3,0,0,0%,40.1536,-88.9645,2020-03-19 23:11 EDT,17,027,2.07,1.4492753623188408
Peoria,Illinois,3,0,0,0%,40.69236,-89.58799,2020-03-19 23:11 EDT,17,143,4.81,0.6237006237006237
Woodford,Illinois,2,1,0,0%,40.84437,-89.02781,2020-03-19 23:11 EDT,17,203,1.01,1.9801980198019802
