County Name,State Name,Confirmed,New,Death,Fatality Rate,Last Update,STATEFP,COUNTYFP,Population Estimate 2018 (Ths.),Infection Rate
Kent,Michigan,3,0,0,0%,2020-03-14 12:04 EDT,26,081,11.54,0.25996533795493937
Washtenaw,Michigan,3,0,0,0%,2020-03-14 12:04 EDT,26,161,22.6,0.1327433628318584
St. Clair,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,147,2,0.5
Ingham,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,065,17.19,0.05817335660267597
Montcalm,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,117,3.06,0.32679738562091504
Bay,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,017,1.44,0.6944444444444444
Charlevoix,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,029,0.28,3.571428571428571
Macomb,Michigan,1,0,0,0%,2020-03-14 12:04 EDT,26,099,7.52,0.13297872340425532
Wake,North Carolina,9,0,0,0%,2020-03-14 12:04 EDT,37,183,21.8,0.4128440366972477
Forsyth,North Carolina,2,0,0,0%,2020-03-14 12:04 EDT,37,067,10.8,0.18518518518518517
Chatham,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,037,0.76,1.3157894736842106
Durham,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,063,13.91,0.07189072609633357
Johnston,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,101,1.71,0.5847953216374269
Mecklenburg,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,119,17.48,0.05720823798627002
Cabarrus,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,025,1.36,0.7352941176470588
Onslow,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,133,21.38,0.046772684752104776
Wayne,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,191,2.31,0.4329004329004329
Harnett,North Carolina,1,0,0,0%,2020-03-14 12:04 EDT,37,085,3.39,0.2949852507374631
Brunswick,North Carolina,1,1,0,0%,2020-03-14 12:04 EDT,37,019,0.84,1.1904761904761905
Clark,Nevada,16,0,0,0%,2020-03-14 12:04 EDT,32,003,22.98,0.6962576153176675
Washoe,Nevada,3,0,0,0%,2020-03-14 12:04 EDT,32,031,5.31,0.5649717514124294
Fond du Lac,Wisconsin,6,0,0,0%,2020-03-14 12:04 EDT,55,039,3.54,1.694915254237288
Dane,Wisconsin,5,0,0,0%,2020-03-14 12:04 EDT,55,025,12.8,0.390625
Sheboygan,Wisconsin,3,0,0,0%,2020-03-14 12:04 EDT,55,117,2.79,1.075268817204301
Milwaukee,Wisconsin,2,0,0,0%,2020-03-14 12:04 EDT,55,079,22.85,0.087527352297593
Pierce,Wisconsin,1,0,0,0%,2020-03-14 12:04 EDT,55,093,2.78,0.3597122302158274
Waukesha,Wisconsin,1,0,0,0%,2020-03-14 12:04 EDT,55,133,5.52,0.1811594202898551
Racine,Wisconsin,1,0,0,0%,2020-03-14 12:04 EDT,55,101,5,0.2
Johnson,Iowa,14,0,0,0%,2020-03-14 12:04 EDT,19,103,8.51,1.645123384253819
Pottawattamie,Iowa,1,0,0,0%,2020-03-14 12:04 EDT,19,155,2.12,0.4716981132075471
Carroll,Iowa,1,0,0,0%,2020-03-14 12:04 EDT,19,027,0.41,2.4390243902439024
Harrison,Iowa,1,0,0,0%,2020-03-14 12:04 EDT,19,085,0.28,3.571428571428571
Marion,Indiana,3,1,0,0%,2020-03-14 12:04 EDT,18,097,16.47,0.18214936247723135
Johnson,Indiana,3,0,0,0%,2020-03-14 12:04 EDT,18,081,2.45,1.2244897959183672
Hendricks,Indiana,2,0,0,0%,2020-03-14 12:04 EDT,18,063,4.05,0.4938271604938272
Noble,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,113,0.81,1.2345679012345678
Adams,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,001,0.42,2.380952380952381
Boone,Indiana,1,0,0,0%,2020-03-14 12:04 EDT,18,011,0.57,1.7543859649122808
